Name,Brand,Rating,Review on Parfumo?,Would I Wear?,Sample/Full Bottle?,Themes,Strength,Season,Gender,Notes,search_text
Black Opium,Yves Saint Laurent,3,True,Yes,Full Bottle,"Floral, Peppery, Oriental, Spicy",Normal,Autumn,Feminine,"Orange blossom, pink pepper, coffee, jasmine, vanilla, patchouli, cedar","black opium yves saint laurent orange blossom, pink pepper, coffee, jasmine, vanilla, patchouli, cedar floral, peppery, oriental, spicy"
Bamboo,Gucci,3,True,No,Full Bottle,"Floral, Elegant, Fresh, Sweet, Fruity",Subtle,Spring,Feminine,"Bergamot, Casablanca lily, ylang-ylang, orange blossom, ambergris, sandalwood, vanilla","bamboo gucci bergamot, casablanca lily, ylang-ylang, orange blossom, ambergris, sandalwood, vanilla floral, elegant, fresh, sweet, fruity"
Jon and Martin,Sucreabeille,4,True,Yes,Full Bottle,"Tea, Cosy, Academic, Earthy, Leathery, Gourmand, Sweet, Creamy",Subtle,Any,Unisex,"Paper, amber, black tea, milk","jon and martin sucreabeille paper, amber, black tea, milk tea, cosy, academic, earthy, leathery, gourmand, sweet, creamy"
Yorkshire Lad,The Yorkshire Soap Co.,4,False,Yes,Full Bottle,"Fresh, Citrus, Woody",Normal,Any,Masculine,"Lemon, bergamot, olive blossom, lavender, tonka bean, oud, sandalwood","yorkshire lad the yorkshire soap co. lemon, bergamot, olive blossom, lavender, tonka bean, oud, sandalwood fresh, citrus, woody"
Aizen Sosuke,Primaniacs,5,False,Yes,Full Bottle,"Character, Sexy, Woody, Smoky",Strong,Any,Unisex,"Ozonic notes, woody notes, marine notes, Lily of the valley, rose, patchouli, rosewood, Musk, amber, smoky notes, cashmere wood","aizen sosuke primaniacs ozonic notes, woody notes, marine notes, lily of the valley, rose, patchouli, rosewood, musk, amber, smoky notes, cashmere wood character, sexy, woody, smoky"
2B (YoRHa No. 2 Type B),Primaniacs,4,False,Yes,Full Bottle,"Character, Floral",Strong,Any,Unisex,"Bergamot, lavender, Lily of the valley, violet, rose, sandalwood, Vanilla, Musk, Amber","2b (yorha no. 2 type b) primaniacs bergamot, lavender, lily of the valley, violet, rose, sandalwood, vanilla, musk, amber character, floral"
9S (YoRHa No. 9 Type S),Primaniacs,3,False,Yes,Full Bottle,Character,Normal,Any,Unisex,"Apricot, Freesia, Tea, Violet, Raspberry, lily of the valley, cedar wood, amber, musk, vetiver, sandalwood","9s (yorha no. 9 type s) primaniacs apricot, freesia, tea, violet, raspberry, lily of the valley, cedar wood, amber, musk, vetiver, sandalwood character"
Albedo,Primaniacs,4,False,Yes,Full Bottle,Character,Normal,Any,Unisex,"Fig, bergamot, cypress, Hinoki cypress, lavender, soapy notes, juniper, iris, patchouli, musk, floral ozone","albedo primaniacs fig, bergamot, cypress, hinoki cypress, lavender, soapy notes, juniper, iris, patchouli, musk, floral ozone character"
Velvet-,Commodity,3,True,Yes,Miniature,"Sexy, Sweet, Spicy, Smoky, Creamy, Floral",Normal,Any,Unisex,"Clove, rose, almond, musk, amber, vanilla","velvet- commodity clove, rose, almond, musk, amber, vanilla sexy, sweet, spicy, smoky, creamy, floral"
Dead Air,.Oddity,4,True,Yes,Sample,"Salty, Electric, Green, Spicy, Aquatic, Earthy, Woody",Normal,Any,Unisex,"Davana, patchouli, lovage root, opoponax, salt, oak, violet leaf, narcissus, dates, vetiver, labdanum, cedar, freesia","dead air .oddity davana, patchouli, lovage root, opoponax, salt, oak, violet leaf, narcissus, dates, vetiver, labdanum, cedar, freesia salty, electric, green, spicy, aquatic, earthy, woody"
Rake & Ruin,Beaufort,3,True,Yes,Sample,"Smoky, Spicy, Woody, Leathery, Animal",Normal,Any,Unisex,"Smoke, Angelica, Gin, Liquorice, Juniper, Szechuan pepper, pink pepper, orange, coriander, lemon, Smoke, cypress, pine needle, beaver, labdanum, stinging juniper, costus, violet, iris, Smoke, dry woods, amber aromas, sandalwood, musk","rake & ruin beaufort smoke, angelica, gin, liquorice, juniper, szechuan pepper, pink pepper, orange, coriander, lemon, smoke, cypress, pine needle, beaver, labdanum, stinging juniper, costus, violet, iris, smoke, dry woods, amber aromas, sandalwood, musk smoky, spicy, woody, leathery, animal"
London Fog,Brandt,5,True,Yes,Sample,"Tea, Academic, Smoky, Citrus, Creamy, Sweet",Strong,Any,Unisex,"Bergamot, earl grey tea, smoke, honey, lavender, milk, sandalwood, vanilla, ambergris, musk","london fog brandt bergamot, earl grey tea, smoke, honey, lavender, milk, sandalwood, vanilla, ambergris, musk tea, academic, smoky, citrus, creamy, sweet"
Terroni,Orto Parisi,3,True,No,Sample,"Sexy, Smoky, Woody, Spicy, Earthy, Resinous",Normal,Any,Unisex,"Raspberry, birch, amber, benzoin, guaiac wood, vetiver, cedar, musk, moss, patchouli, tonka, vanilla","terroni orto parisi raspberry, birch, amber, benzoin, guaiac wood, vetiver, cedar, musk, moss, patchouli, tonka, vanilla sexy, smoky, woody, spicy, earthy, resinous"
Inexcusable Evil,Toskovat’,1,True,No,Sample,"Offputting, Scary, Gross, Synthetic, Smoky, Woody",Strong,Any,Unisex,"Ozone, gunpowder, blood, iodine, flowers, copaiba balm, gaiac wood, nagarmotha, synthetic fibres, concrete, frankincense, rain, incense, sandalwood","inexcusable evil toskovat’ ozone, gunpowder, blood, iodine, flowers, copaiba balm, gaiac wood, nagarmotha, synthetic fibres, concrete, frankincense, rain, incense, sandalwood offputting, scary, gross, synthetic, smoky, woody"
Pas de Chat,Odette Parfum Co.,5,True,Yes,Sample,"Cosy, Sweet, Powdery, Creamy, Animal, Gourmand",Normal,Any,Unisex,"Cake, pepper, cat fur, cashmere, iso-e super, vanilla, ambrette, tonka, amber","pas de chat odette parfum co. cake, pepper, cat fur, cashmere, iso-e super, vanilla, ambrette, tonka, amber cosy, sweet, powdery, creamy, animal, gourmand"
Matcha Soft Serve,d’Annam,2,True,No,Sample,"Tea, Green, Gourmand, Creamy, Sweet, Powdery",Strong,Any,Unisex,"Matcha, milk, vanilla, waffle cone","matcha soft serve d’annam matcha, milk, vanilla, waffle cone tea, green, gourmand, creamy, sweet, powdery"
Nosferatu,Heretic,4,True,Yes,Sample,"Petrichor, Gothic, Floral, Earthy, Aquatic, Fresh, Green",Normal,Any,Unisex,"Ambrette, lilac, petrichor, orris, violet, Cypriol, ambergris, labdanum, oud","nosferatu heretic ambrette, lilac, petrichor, orris, violet, cypriol, ambergris, labdanum, oud petrichor, gothic, floral, earthy, aquatic, fresh, green"
Match Made in Heaven,Sorce,5,True,Yes,Sample,"Tea, Sweet, Gourmand, Creamy, Green, Powdery",Strong,Any,Unisex,"Ice cream, vanilla, waffle cone, sugar, matcha, almond, sandalwood, cherry blossom","match made in heaven sorce ice cream, vanilla, waffle cone, sugar, matcha, almond, sandalwood, cherry blossom tea, sweet, gourmand, creamy, green, powdery"
Sadonaso,Nasomatto,1,True,No,Sample,"Sexy, Gross, Sweet, Animal",Strong,Any,Masculine,"Coffee, musk, tobacco, sandalwood, vanilla, animal notes, amber, tonka","sadonaso nasomatto coffee, musk, tobacco, sandalwood, vanilla, animal notes, amber, tonka sexy, gross, sweet, animal"
Shutter,Xyrena,2,True,No,Sample,"Gross, Plastic, Synthetic",Normal,Any,Unisex,"Instant film, vinyl, camphor","shutter xyrena instant film, vinyl, camphor gross, plastic, synthetic"
Eau de Space,Eau de Space,1,True,No,Sample,"Gross, Machine, Space, Synthetic, Smoky, Spicy",Strong,Any,Unisex,"Latex, metallic notes, fire, gunpowder, ozone, biscuit, rum, almond, fruit","eau de space eau de space latex, metallic notes, fire, gunpowder, ozone, biscuit, rum, almond, fruit gross, machine, space, synthetic, smoky, spicy"
Eau de Luna,Eau de Space,2,True,No,Sample,"Space, Smoky, Earthy, Synthetic",Strong,Any,Unisex,"Fire, smoke, gunpowder","eau de luna eau de space fire, smoke, gunpowder space, smoky, earthy, synthetic"
English Major,Sorce,5,True,Yes,Sample,"Academic, Cosy, Sweet, Gourmand, Creamy, Earthy",Strong,Autumn,Unisex,"Books, marshmallow, orris, brown sugar, woody notes, fire, Peru balsam, coconut","english major sorce books, marshmallow, orris, brown sugar, woody notes, fire, peru balsam, coconut dark academia, cosy, sweet, gourmand, creamy, earthy"
White Cat Milktea,D. Grayi,4,True,Yes,Sample,"Cosy, Sweet, Powdery, Creamy, Gourmand, Animal, Tea",Subtle,Any,Unisex,"Rice, milk, tea, catnip, cashmere, cream, musk, copal, resin, civet","white cat milktea d. grayi rice, milk, tea, catnip, cashmere, cream, musk, copal, resin, civet cosy, sweet, powdery, creamy, gourmand, animal, tea"
Warm Bulb,Clue Perfumery,5,True,Yes,Sample,"Electric, Synthetic, Powdery, Sweet, Woody, Creamy",Strong,Any,Unisex,"Dust, steam, pepper, paper, immortelle, tobacco, vanilla, sandalwood, amber","warm bulb clue perfumery dust, steam, pepper, paper, immortelle, tobacco, vanilla, sandalwood, amber electric, synthetic, powdery, sweet, woody, creamy"
Petit Gâteau,Odette Parfum Co.,4,True,Yes,Sample,"Cosy, Sweet, Gourmand, Creamy",Normal,Any,Feminine,"Marzipan, honey, cream, butter, vanilla, creme brûlée, tonka","petit gâteau odette parfum co. marzipan, honey, cream, butter, vanilla, creme brûlée, tonka cosy, sweet, gourmand, creamy"
Strawberry Cat Shortcake,D. Grayi,4,True,Yes,Sample,"Gourmand, Sweet, Fruity",Strong,Any,Unisex,"Catnip, ash, yuzu, biscuit, cream, strawberry, civet, sugar, amber","strawberry cat shortcake d. grayi catnip, ash, yuzu, biscuit, cream, strawberry, civet, sugar, amber gourmand, sweet, fruity"
The Ghost in the Shell,Etat Libre d'Orange,4,True,Yes,Sample,"Machine, Futuristic, Synthetic, Fresh, Creamy, Floral, Citrus",Normal,Any,Unisex,"Aqual, yuzu, hexyl acetate, milk, skin, jasmine, mugane, orcanox, vinyl guaiacol, moss","the ghost in the shell etat libre d'orange aqual, yuzu, hexyl acetate, milk, skin, jasmine, mugane, orcanox, vinyl guaiacol, moss machine, futuristic, synthetic, fresh, creamy, floral, citrus"
Yuzuyakuza,Spiritica,3,True,No,Sample,"Sexy, Citrus, Smoky, Fresh, Woody",Strong,Any,Masculine,"Yuzu, gunpowder, sudachi, pineapple, grapefruit, ink, asphalt, petrichor, cherry blossom, suede, mahogany, incense, cedarwood","yuzuyakuza spiritica yuzu, gunpowder, sudachi, pineapple, grapefruit, ink, asphalt, petrichor, cherry blossom, suede, mahogany, incense, cedarwood sexy, citrus, smoky, fresh, woody"
Simple Math,Pour Toi,4,True,Yes,Sample,"Electric, Floral, Futuristic, Synthetic",Normal,Any,Unisex,"Electro-statical accord, dust, metallic notes, musk, rose, woody notes","simple math pour toi electro-statical accord, dust, metallic notes, musk, rose, woody notes electric, floral, futuristic, synthetic"
Matcha Cat Matté,D. Grayi,4,True,Yes,Sample,"Fresh, Cosy, Green, Earthy, Tea",Normal,Any,Unisex,"Bergamot, catnip, mate, matcha, lily of the valley, tea, sandalwood, cypress, hinoki, civet","matcha cat matté d. grayi bergamot, catnip, mate, matcha, lily of the valley, tea, sandalwood, cypress, hinoki, civet fresh, cosy, green, earthy, tea"
On a Cloud,J-Scent,5,True,Yes,Sample,"Sweet, Fresh, Green, Creamy, Gourmand",Strong,Summer,Unisex,"Peppermint, sugar, vanilla, milk","on a cloud j-scent peppermint, sugar, vanilla, milk sweet, fresh, green, creamy, gourmand"
Squid,Zoologist,5,True,Yes,Sample,"Salty, Eldritch, Aquatic, Resinous, Smoky",Strong,Any,Unisex,"Incense, amyl salicylate, pepper, ink, salt, opoponax, ambergris, benzoin, musk","squid zoologist incense, amyl salicylate, pepper, ink, salt, opoponax, ambergris, benzoin, musk salty, eldritch, aquatic, resinous, smoky"
Hyperlight,Pour Toi,3,True,No,Sample,"Electric, Futuristic, Machine, Synthetic, Fresh",Strong,Any,Unisex,"Mineral notes, metallic notes, marine notes, ink, musk","hyperlight pour toi mineral notes, metallic notes, marine notes, ink, musk electric, futuristic, machine, synthetic, fresh"
Arashiyama,d’Annam,4,True,Yes,Sample,"Salty, Petrichor, Green, Fresh, Aquatic, Floral, Earthy",Strong,Summer,Unisex,"Bamboo leaf, bamboo, grass, rain notes, violet","arashiyama d’annam bamboo leaf, bamboo, grass, rain notes, violet salty, petrichor, green, fresh, aquatic, floral, earthy"
Olm,Zoologist,3,True,Yes,Sample,"Petrichor, Eldritch, Earthy, Aquatic, Green, Fresh",Strong,Any,Unisex,"Water notes, iodine, algae, iso e super, musk, cashmeran, sandalwood, amber","olm zoologist water notes, iodine, algae, iso e super, musk, cashmeran, sandalwood, amber petrichor, eldritch, earthy, aquatic, green, fresh"
Born Screaming,Toskovat’,4,True,Yes,Sample,"Sexy, Plastic, Fruity, Synthetic, Sweet, Smoky, Gourmand",Strong,Any,Unisex,"Cherry, plastic, latex, blackberry, ground cherry, smoke, heliotrope, rose, datura, boronia, mignonette, pearls, ambrette, styrax, myrrh, cabreuva, castoreum, freesia, patchouli","born screaming toskovat’ cherry, plastic, latex, blackberry, ground cherry, smoke, heliotrope, rose, datura, boronia, mignonette, pearls, ambrette, styrax, myrrh, cabreuva, castoreum, freesia, patchouli sexy, plastic, fruity, synthetic, sweet, smoky, gourmand"
Last Birthday Cake,Toskovat’,4,True,Yes,Sample,"Sweet, Gourmand, Smoky, Creamy, Spicy",Strong,Any,Unisex,"Almond, milk, hazelnut cocoa spread, cork, malt, calla lily, cake, brandy, vanilla, brown sugar, custard, tonka, benzoin, clover, incense, gunpowder, skin, styrax, Bran, tolu balsam, papyrus","last birthday cake toskovat’ almond, milk, hazelnut cocoa spread, cork, malt, calla lily, cake, brandy, vanilla, brown sugar, custard, tonka, benzoin, clover, incense, gunpowder, skin, styrax, bran, tolu balsam, papyrus sweet, gourmand, smoky, creamy, spicy"
Tyrannosaurus Rex,Zoologist,3,True,Yes,Sample,"Smoky, Resinous, Spicy, Woody, Animal",Strong,Any,Masculine,"Fir, pepper, bay leaf, nutmeg, bergamot, neroli, champaca, geranium, ylang-ylang, rose, osmanthus, jasmine, resin, leather, cade oil, incense, civet, cedar, patchouli, sandalwood, vanilla","tyrannosaurus rex zoologist fir, pepper, bay leaf, nutmeg, bergamot, neroli, champaca, geranium, ylang-ylang, rose, osmanthus, jasmine, resin, leather, cade oil, incense, civet, cedar, patchouli, sandalwood, vanilla smoky, resinous, spicy, woody, animal"
Vampire Husband,Sorce,5,True,Yes,Sample,"Sexy, Petrichor, Academic, Earthy, Resinous, Smoky, Woody, Leathery, Sweet",Strong,Any,Unisex,"Petrichor, dirt, blood, patchouli, cigarette, absinthe, tobacco, moss, clove, vetiver, oud, amber","vampire husband sorce petrichor, dirt, blood, patchouli, cigarette, absinthe, tobacco, moss, clove, vetiver, oud, amber sexy, petrichor, academic, earthy, resinous, smoky, woody, leathery, sweet"
Vampire Wife,Sorce,5,True,Yes,Sample,"Sexy, Gothic, Gourmand, Sweet, Citrus, Powdery, Creamy",Strong,Any,Unisex,"Orange, cake, star anise, powder, heliotrope, skin, tonka, Peru balsam, moss","vampire wife sorce orange, cake, star anise, powder, heliotrope, skin, tonka, peru balsam, moss sexy, gothic, gourmand, sweet, citrus, powdery, creamy"
Morel Map,Clue Perfumery,4,True,Yes,Sample,"Petrichor, Earthy, Green, Fresh, Woody, Floral",Normal,Any,Unisex,"Woody notes, balsam fir, violet, birch leaf, red currant, mushroom, violet, galbanum, moss, elm, forest","morel map clue perfumery woody notes, balsam fir, violet, birch leaf, red currant, mushroom, violet, galbanum, moss, elm, forest petrichor, earthy, green, fresh, woody, floral"
The Mad Hatter,Mischief Academy,4,True,Yes,Sample,"Boozy, Creamy, Leathery, Spicy, Gourmand, Sweet",Normal,Any,Unisex,"Rum, cognac, toffee, tea, saffron, leather, butter, milk","the mad hatter mischief academy rum, cognac, toffee, tea, saffron, leather, butter, milk boozy, creamy, leathery, spicy, gourmand, sweet"
Matcha Potion,Mischief Academy,4,True,Yes,Sample,"Floral, Sweet, Green, Gourmand, Powdery, Tea",Normal,Any,Unisex,"Cream, matcha, butter, white chocolate","matcha potion mischief academy cream, matcha, butter, white chocolate floral, sweet, green, gourmand, powdery, tea"
Plastic,Xyrena,4,True,Yes,Sample,"Plastic, Synthetic, Powdery, Sweet, Floral",Normal,Any,Unisex,"Guava, lavender, bergamot, cherry blossom, cedar, cotton candy, vanilla, sandalwood, amber","plastic xyrena guava, lavender, bergamot, cherry blossom, cedar, cotton candy, vanilla, sandalwood, amber plastic, synthetic, powdery, sweet, floral"
When the Rain Stops,Maison Marginal,3,True,Yes,Sample,"Fresh, Aquatic, Green, Floral, Elegant",Subtle,Any,Unisex,"Green notes, bergamot, pepper, marine notes, rain notes, rose, jasmine, pine, moss, patchouli","when the rain stops maison marginal green notes, bergamot, pepper, marine notes, rain notes, rose, jasmine, pine, moss, patchouli fresh, aquatic, green, floral, elegant"
Concrete Lightning,D.S. & Durga,5,True,Yes,Sample,"Electric, Petrichor, Synthetic, Fresh, Aquatic, Green, Earthy",Normal,Any,Unisex,"Grass, ozone, rain notes, steam, concrete","concrete lightning d.s. & durga grass, ozone, rain notes, steam, concrete electric, petrichor, synthetic, fresh, aquatic, green, earthy"
Mooncake,d’Annam,2,True,No,Sample,"Savoury, Salty, Gourmand",Normal,Any,Unisex,"Honey, syrup, salt, egg, mung bean, vanilla, lotus seed","mooncake d’annam honey, syrup, salt, egg, mung bean, vanilla, lotus seed savoury, salty, gourmand"
Ephemera,Sorce,4,True,Yes,Sample,"Fresh, Cosy, Creamy, Gourmand, Earthy, Sweet",Normal,Autumn,Unisex,"Brown sugar, vanilla, pumpkin, paper, soil, cashmeran, musk, acorn, milk","ephemera sorce brown sugar, vanilla, pumpkin, paper, soil, cashmeran, musk, acorn, milk fresh, cosy, creamy, gourmand, earthy, sweet"
Annabel’s Birthday Cake,Marissa Zappas,3,True,No,Sample,"Plastic, Gourmand, Floral, Sweet, Synthetic, Creamy",Normal,Any,Feminine,"Sugar, heliotrope, lemon, balloons, cream, cake, sugar, rose, tuberose, honeycomb, cacao, tonka","annabel’s birthday cake marissa zappas sugar, heliotrope, lemon, balloons, cream, cake, sugar, rose, tuberose, honeycomb, cacao, tonka plastic, gourmand, floral, sweet, synthetic, creamy"
Kitten Fur,Demeter Fragrance,3,True,No,Sample,"Cosy, Powdery, Sweet, Creamy, Synthetic",Subtle,Any,Unisex,Cat fur,"kitten fur demeter fragrance cat fur cosy, powdery, sweet, creamy, synthetic"
Let the Good Times Roll,Lush,5,True,Yes,Full Bottle," Gourmand, Sweet, Creamy",Strong,Any,Unisex,"Caramel, butter, popcorn, cinnamon","let the good times roll lush caramel, butter, popcorn, cinnamon  gourmand, sweet, creamy"
American Psycho,Xyrena,2,True,No,Sample,"Plastic, Earthy, Spicy, Smoky, Creamy",Normal,Any,Masculine,"Sorbet, white wine, mint, lavender, saffron, clove, pepper, ambroxan, musk, creme brûlée, sandalwood","american psycho xyrena sorbet, white wine, mint, lavender, saffron, clove, pepper, ambroxan, musk, creme brûlée, sandalwood plastic, earthy, spicy, smoky, creamy"
Scent Stories Vol.1/Ch.11 - Moon Dust,MiN New York,4,True,Yes,Sample,"Space, Smoky, Spicy, Earthy, Woody, Synthetic",Normal,Any,Unisex,"Mineral notes, carrot seeds, coriander, tobacco, flint, ozone notes, earth, benzoin, soil, musk","scent stories vol.1/ch.11 - moon dust min new york mineral notes, carrot seeds, coriander, tobacco, flint, ozone notes, earth, benzoin, soil, musk space, smoky, spicy, earthy, woody, synthetic"
Athenaeum,Jorum Studio,4,False,Yes,Sample,"Green, Spicy, Woody, Earthy, Floral",Normal,Spring,Unisex,"Beeswax, lavender, honey, fennel, apple, hay, neroli, hyacinth, ink, patchouli, balsam, oak, leather","athenaeum jorum studio beeswax, lavender, honey, fennel, apple, hay, neroli, hyacinth, ink, patchouli, balsam, oak, leather green, spicy, woody, earthy, floral"
Pentimento,Jorum Studio,5,False,Yes,Sample,"Boozy, Sweet, Creamy, Gourmand",Normal,Any,Unisex,"Hazelnut, tiare, orchid, broom, carob tree, tobacco blossom, vanilla, tonka, rum","pentimento jorum studio hazelnut, tiare, orchid, broom, carob tree, tobacco blossom, vanilla, tonka, rum boozy, sweet, creamy, gourmand"
Fantosmia,Jorum Studio,3,False,Yes,Sample,"Herbal, Spicy, Woody, Leathery, Resinous, Earthy",Normal,Any,Unisex,"Pepper, cardamom, pimento, shiso, mate, fennel, saffron, oud, tobacco, nutmeg, castoreum, cascarilla","fantosmia jorum studio pepper, cardamom, pimento, shiso, mate, fennel, saffron, oud, tobacco, nutmeg, castoreum, cascarilla herbal, spicy, woody, leathery, resinous, earthy"
Pony Boy,Jorum Studio,4,False,Yes,Sample,"Fruity, Fresh, Green, Citrus, Spicy",Normal,Spring,Unisex,"Rhubarb, grapefruit, fig, coriander, beetroot, pepper, lotus, champaca, calamus, raspberry, vetiver, ambrette, cedar","pony boy jorum studio rhubarb, grapefruit, fig, coriander, beetroot, pepper, lotus, champaca, calamus, raspberry, vetiver, ambrette, cedar fruity, fresh, green, citrus, spicy"
Spiritcask,Jorum Studio,4,False,Yes,Sample,"Boozy, Woody, Sweet, Gourmand, Spicy, Fruity",Normal,Any,Unisex,"Whiskey, pear, chamomile, cognac, rum, malt, ylang-ylang, jasmine, vanilla, whiskey, maple, oak, cacao, cedar, guaiac wood, lactones, labdanum, coffee, leather","spiritcask jorum studio whiskey, pear, chamomile, cognac, rum, malt, ylang-ylang, jasmine, vanilla, whiskey, maple, oak, cacao, cedar, guaiac wood, lactones, labdanum, coffee, leather boozy, woody, sweet, gourmand, spicy, fruity"
Firewater,Jorum Studio,4,False,Yes,Sample," Smoky, Woody, Spicy, Earthy, Citrus",Strong,Any,Unisex,"Grapefruit, juniper, nettle, ginger, tea, osmanthus, larch, soil, birch, seaweed, labdanum, oak, guaiac wood, benzoin, vetiver","firewater jorum studio grapefruit, juniper, nettle, ginger, tea, osmanthus, larch, soil, birch, seaweed, labdanum, oak, guaiac wood, benzoin, vetiver  smoky, woody, spicy, earthy, citrus"
Gorseland,Jorum Studio,4,False,Yes,Sample,"Herbal, Green, Floral, Fruity, Fresh",Normal,Any,Unisex,"Gorse, apple, chamomile, lemon, lavender, black elder, geranium, neroli, cannabis","gorseland jorum studio gorse, apple, chamomile, lemon, lavender, black elder, geranium, neroli, cannabis herbal, green, floral, fruity, fresh"
Healing Berry,Jorum Studio,4,False,Yes,Sample,"Fruity, Sweet, Green, Floral",Normal,Summer,Unisex,"Black currant, tayberry, violet, mint, rosebay willowherb, artemisia, raspberry, loganberry, orris, rose, fern, cereals, balsam fir","healing berry jorum studio black currant, tayberry, violet, mint, rosebay willowherb, artemisia, raspberry, loganberry, orris, rose, fern, cereals, balsam fir fruity, sweet, green, floral"
Rose Highland,Jorum Studio,3,False,Yes,Sample,"Salty, Herbal, Floral, Spicy, Fresh, Green, Woody",Normal,Spring,Unisex,"Pepper, basil, heather, rose, geranium, clove, rhododendron, jasmine, mineral notes, ambergris, oak, iris, vetiver","rose highland jorum studio pepper, basil, heather, rose, geranium, clove, rhododendron, jasmine, mineral notes, ambergris, oak, iris, vetiver salty, herbal, floral, spicy, fresh, green, woody"
